Metadata
Fiber 1,Fiber 2,Fiber 3,Fiber 4
1553.74426,1556.30594,1551.25928,1550.6018
1502319972.22976,1552.97782,521.924

Serial Num,Timestamp(s),Temperature(K),Wavelength(nm),Power(dBm)
Fiber 3,1502320475.220692,248.773,1551.25948,-15.372
Fiber 4,1502320475.220692,248.773,1550.60302,-19.438


Fiber 1,1502320493.7407181,248.77249999999998,1553.7446,-10.51
Fiber 2,1502320493.7407181,248.77249999999998,1556.30656,-9.404
Fiber 3,1502320493.7407181,248.77249999999998,1551.25968,-15.378
Fiber 4,1502320493.7407181,248.77249999999998,1550.60318,-19.412


Fiber 1,1502320511.7307434,248.773,1553.74464,-10.508
Fiber 2,1502320511.7307434,248.773,1556.30602,-9.392
Fiber 3,1502320511.7307434,248.773,1551.25904,-15.368
Fiber 4,1502320511.7307434,248.773,1550.6028,-19.438


Fiber 1,1502320530.2307692,248.771,1553.74472,-10.488
Fiber 2,1502320530.2307692,248.771,1556.30592,-9.396
Fiber 3,1502320530.2307692,248.771,1551.2594,-15.392
Fiber 4,1502320530.2307692,248.771,1550.6028,-19.454


Fiber 1,1502320548.720795,248.768,1553.74482,-10.484
Fiber 2,1502320548.720795,248.768,1556.30618,-9.448
Fiber 3,1502320548.720795,248.768,1551.26044,-15.362
Fiber 4,1502320548.720795,248.768,1550.60246,-19.42


Fiber 1,1502320566.7208202,248.76749999999998,1553.7445,-10.492
Fiber 2,1502320566.7208202,248.76749999999998,1556.30544,-9.466
Fiber 3,1502320566.7208202,248.76749999999998,1551.26022,-15.34
Fiber 4,1502320566.7208202,248.76749999999998,1550.6025,-19.45


Fiber 1,1502320584.7208452,248.766,1553.74426,-10.462
Fiber 2,1502320584.7208452,248.766,1556.3061,-9.374
Fiber 3,1502320584.7208452,248.766,1551.26048,-15.324
Fiber 4,1502320584.7208452,248.766,1550.6022,-19.416


Fiber 1,1502320602.7308705,248.76549999999997,1553.74392,-10.518
Fiber 2,1502320602.7308705,248.76549999999997,1556.30578,-9.392
Fiber 3,1502320602.7308705,248.76549999999997,1551.2613,-15.358
Fiber 4,1502320602.7308705,248.76549999999997,1550.6022,-19.42


Fiber 1,1502320621.2308965,248.7645,1553.7443,-10.502
Fiber 2,1502320621.2308965,248.7645,1556.30654,-9.396
Fiber 3,1502320621.2308965,248.7645,1551.26046,-15.342
Fiber 4,1502320621.2308965,248.7645,1550.60276,-19.386


Fiber 1,1502320639.2209215,248.762,1553.74446,-10.486
Fiber 2,1502320639.2209215,248.762,1556.30574,-9.454
Fiber 3,1502320639.2209215,248.762,1551.26048,-15.324
Fiber 4,1502320639.2209215,248.762,1550.60306,-19.422


Fiber 1,1502320657.2209468,248.761,1553.74512,-10.478
Fiber 2,1502320657.2209468,248.761,1556.30532,-9.438
Fiber 3,1502320657.2209468,248.761,1551.25986,-15.338
Fiber 4,1502320657.2209468,248.761,1550.60238,-19.374


Fiber 1,1502320675.220972,248.7595,1553.74458,-10.498
Fiber 2,1502320675.220972,248.7595,1556.30474,-9.416
Fiber 3,1502320675.220972,248.7595,1551.2594,-15.358
Fiber 4,1502320675.220972,248.7595,1550.60162,-19.378


Fiber 1,1502320692.7409966,248.7585,1553.74366,-10.536
Fiber 2,1502320692.7409966,248.7585,1556.30462,-9.392
Fiber 3,1502320692.7409966,248.7585,1551.25886,-15.348
Fiber 4,1502320692.7409966,248.7585,1550.60134,-19.39


Fiber 1,1502320711.2310226,248.757,1553.74412,-10.484
Fiber 2,1502320711.2310226,248.757,1556.30584,-9.436
Fiber 3,1502320711.2310226,248.757,1551.25902,-15.348
Fiber 4,1502320711.2310226,248.757,1550.60166,-19.368


Fiber 1,1502320729.2310476,248.7575,1553.74362,-10.498
Fiber 2,1502320729.2310476,248.7575,1556.305,-9.438
